start_target,start_arctic,goal,step_count,steps_out,reward,info,leader_reward,leader_steps,stop_count,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",139,7,47.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",98,139,41
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",76,4,64.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",61,76,15
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",127,0,30.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",90,127,37
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",117,7,64.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",89,117,28
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",75,6,60.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",57,75,18
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",109,5,96.0,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",98,108,10
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",83,5,70.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",66,83,17
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",115,6,100.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",97,113,16
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",114,6,99.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",88,114,26
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",118,3,19.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",87,118,31
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",85,0,77.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",59,85,26
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",118,6,26.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",89,118,29
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",111,3,98.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",98,110,12
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -60.0]",109,5,42.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",80,109,29
